exp,site,hole,core,type,section,sec_half,pcl_cm,type,too_name,top_offset,btm_offset,ccsf_a,sam,mod_am,d18O,avgs
361,U1474,F,1,H,1,W,150,HRND,SPATULA,15.24,16.24,0.1224,3.86784,10.75091667,2.830,2.830
361,U1474,F,1,H,1,W,150,HRND,SPATULA,39.72,40.72,0.3672,11.60352,15.04170833,4.369,4.369
361,U1474,F,1,H,1,W,150,HRND,SPATULA,51.96,52.96,0.4896,15.47136,19.51504167,4.555,4.555
361,U1474,F,1,H,1,W,150,HRND,SPATULA,64.2,65.2,0.612,19.3392,22.47419444,4.497,4.504
361,U1474,F,1,H,1,W,150,HRND,SPATULA,64.2,65.2,0.612,19.3392,22.47419444,4.510,4.504
361,U1474,F,1,H,1,W,150,HRND,SPATULA,76.44,77.44,0.7344,23.20704,25.19375,4.340,4.340
361,U1474,F,1,H,1,W,150,HRND,SPATULA,88.68,89.68,0.8568,27.07488,30.389125,4.236,4.236
361,U1474,F,1,H,1,W,150,HRND,SPATULA,100.92,101.92,0.9792,30.94272,32.981875,4.151,4.143
361,U1474,F,1,H,1,W,150,HRND,SPATULA,100.92,101.92,0.9792,30.94272,32.981875,4.134,4.143
361,U1474,F,1,H,1,W,150,HRND,SPATULA,113.16,114.16,1.1016,34.81056,35.881,3.961,3.969
361,U1474,F,1,H,1,W,150,HRND,SPATULA,113.16,114.16,1.1016,34.81056,35.881,4.065,3.969
361,U1474,F,1,H,1,W,150,HRND,SPATULA,113.16,114.16,1.1016,34.81056,35.881,3.882,3.969
361,U1474,F,1,H,1,W,150,HRND,SPATULA,125.4,126.4,1.224,38.6784,38.238125,3.754,3.872
361,U1474,F,1,H,1,W,150,HRND,SPATULA,125.4,126.4,1.224,38.6784,38.238125,3.906,3.872
361,U1474,F,1,H,1,W,150,HRND,SPATULA,125.4,126.4,1.224,38.6784,38.238125,3.955,3.872
361,U1474,F,1,H,1,W,150,HRND,SPATULA,137.64,138.64,1.3464,42.54624,43.49146429,4.025,4.025
361,U1474,F,1,H,2,W,99,HRND,SPATULA,12.12,13.12,1.5912,50.28192,50.83546429,3.553,3.553
361,U1474,F,1,H,2,W,99,HRND,SPATULA,36.6,37.6,1.836,58.0176,58.17946429,3.914,3.914
361,U1474,F,1,H,2,W,99,HRND,SPATULA,48.84,49.84,1.9584,61.88544,61.85146429,4.185,4.117
361,U1474,F,1,H,2,W,99,HRND,SPATULA,48.84,49.84,1.9584,61.88544,61.85146429,4.048,4.117
361,U1474,F,1,H,2,W,99,HRND,SPATULA,61.08,62.08,2.0808,65.75328,65.52346429,4.017,4.017
361,U1474,F,1,H,2,W,99,HRND,SPATULA,73.32,74.32,2.2032,69.62112,69.19546429,3.790,3.790
361,U1474,F,1,H,2,W,99,HRND,SPATULA,85.56,86.56,2.3256,73.48896,72.86746429,3.781,3.713
361,U1474,F,1,H,2,W,99,HRND,SPATULA,85.56,86.56,2.3256,73.48896,72.86746429,3.595,3.713
361,U1474,F,1,H,2,W,99,HRND,SPATULA,85.56,86.56,2.3256,73.48896,72.86746429,3.763,3.713
361,U1474,D,1,H,2,W,150,HRND,SPATULA,82.8,83.8,2.448,77.3568,76.53946429,3.353,3.403
361,U1474,D,1,H,2,W,150,HRND,SPATULA,82.8,83.8,2.448,77.3568,76.53946429,3.453,3.403
361,U1474,D,1,H,2,W,150,HRND,SPATULA,95.04,96.04,2.5704,81.22464,80.21146429,3.202,3.446
361,U1474,D,1,H,2,W,150,HRND,SPATULA,95.04,96.04,2.5704,81.22464,80.21146429,3.361,3.446
361,U1474,D,1,H,2,W,150,HRND,SPATULA,95.04,96.04,2.5704,81.22464,80.21146429,3.301,3.446
361,U1474,D,1,H,2,W,150,HRND,SPATULA,95.04,96.04,2.5704,81.22464,80.21146429,3.668,3.446
361,U1474,D,1,H,2,W,150,HRND,SPATULA,95.04,96.04,2.5704,81.22464,80.21146429,3.700,3.446
361,U1474,D,1,H,2,W,150,HRND,SPATULA,107.28,108.28,2.6928,85.09248,83.88346429,3.286,3.286
361,U1474,D,1,H,2,W,150,HRND,SPATULA,131.76,132.76,2.9376,92.82816,91.22746429,3.474,3.478
361,U1474,D,1,H,2,W,150,HRND,SPATULA,131.76,132.76,2.9376,92.82816,91.22746429,3.477,3.478
361,U1474,D,1,H,2,W,150,HRND,SPATULA,131.76,132.76,2.9376,92.82816,91.22746429,3.484,3.478
361,U1474,D,1,H,2,W,150,HRND,SPATULA,144,145,3.06,96.696,94.89946429,3.239,3.311
361,U1474,D,1,H,2,W,150,HRND,SPATULA,144,145,3.06,96.696,94.89946429,3.312,3.311
361,U1474,D,1,H,2,W,150,HRND,SPATULA,144,145,3.06,96.696,94.89946429,3.383,3.311
361,U1474,D,1,H,3,W,150,HRND,SPATULA,20.48,21.48,3.3048,104.43168,102.2434643,3.272,3.257
361,U1474,D,1,H,3,W,150,HRND,SPATULA,20.48,21.48,3.3048,104.43168,102.2434643,3.241,3.257
361,U1474,D,1,H,3,W,150,HRND,SPATULA,32.72,33.72,3.4272,108.29952,105.9154643,3.205,3.358
361,U1474,D,1,H,3,W,150,HRND,SPATULA,32.72,33.72,3.4272,108.29952,105.9154643,3.390,3.358
361,U1474,D,1,H,3,W,150,HRND,SPATULA,32.72,33.72,3.4272,108.29952,105.9154643,3.480,3.358
361,U1474,D,1,H,3,W,150,HRND,SPATULA,44.96,45.96,3.5496,112.16736,109.5874643,3.379,3.409
361,U1474,D,1,H,3,W,150,HRND,SPATULA,44.96,45.96,3.5496,112.16736,109.5874643,3.438,3.409
361,U1474,D,1,H,3,W,150,HRND,SPATULA,57.2,58.2,3.672,116.0352,113.2594643,3.412,3.470
361,U1474,D,1,H,3,W,150,HRND,SPATULA,57.2,58.2,3.672,116.0352,113.2594643,3.528,3.470
361,U1474,D,1,H,3,W,150,HRND,SPATULA,69.44,70.44,3.7944,119.90304,116.9314643,3.165,3.208
361,U1474,D,1,H,3,W,150,HRND,SPATULA,69.44,70.44,3.7944,119.90304,116.9314643,3.110,3.208
361,U1474,D,1,H,3,W,150,HRND,SPATULA,69.44,70.44,3.7944,119.90304,116.9314643,3.348,3.208
361,U1474,D,1,H,3,W,150,HRND,SPATULA,81.68,82.68,3.9168,123.77088,120.6034643,2.458,2.458
361,U1474,D,1,H,3,W,150,HRND,SPATULA,93.92,94.92,4.0392,127.63872,124.2754643,2.455,2.455
361,U1474,D,1,H,3,W,150,HRND,SPATULA,106.16,107.16,4.1616,131.50656,127.9474643,2.703,3.297
361,U1474,D,1,H,3,W,150,HRND,SPATULA,106.16,107.16,4.1616,131.50656,127.9474643,3.890,3.297
361,U1474,D,1,H,3,W,150,HRND,SPATULA,118.4,119.4,4.284,135.3744,131.6194643,3.617,3.617
361,U1474,D,1,H,3,W,150,HRND,SPATULA,142.88,143.88,4.5288,143.11008,138.9634643,4.198,4.198
361,U1474,D,1,H,4,W,150,HRND,SPATULA,5.12,6.12,4.6512,146.97792,142.6354643,4.246,4.384
361,U1474,D,1,H,4,W,150,HRND,SPATULA,5.12,6.12,4.6512,146.97792,142.6354643,4.521,4.384
361,U1474,D,1,H,4,W,150,HRND,SPATULA,17.36,18.36,4.7736,150.84576,146.3074643,4.145,4.145
361,U1474,D,1,H,4,W,150,HRND,SPATULA,29.6,30.6,4.896,154.7136,149.9794643,4.289,4.289
361,U1474,D,1,H,4,W,150,HRND,SPATULA,41.84,42.84,5.0184,158.58144,153.6514643,4.188,4.190
361,U1474,D,1,H,4,W,150,HRND,SPATULA,41.84,42.84,5.0184,158.58144,153.6514643,4.155,4.190
361,U1474,D,1,H,4,W,150,HRND,SPATULA,41.84,42.84,5.0184,158.58144,153.6514643,4.226,4.190
361,U1474,D,1,H,4,W,150,HRND,SPATULA,54.08,55.08,5.1408,162.44928,157.3234643,4.164,4.163
361,U1474,D,1,H,4,W,150,HRND,SPATULA,54.08,55.08,5.1408,162.44928,157.3234643,4.161,4.163
361,U1474,D,1,H,4,W,150,HRND,SPATULA,54.08,55.08,5.1408,162.44928,157.3234643,4.165,4.163
361,U1474,D,1,H,4,W,150,HRND,SPATULA,66.32,67.32,5.2632,166.31712,160.9954643,4.184,4.184
361,U1474,F,2,H,2,W,99,HRND,SPATULA,108.56,109.56,5.388,170.2608,164.7394643,3.861,3.966
361,U1474,F,2,H,2,W,99,HRND,SPATULA,108.56,109.56,5.388,170.2608,164.7394643,4.012,3.966
361,U1474,F,2,H,2,W,99,HRND,SPATULA,108.56,109.56,5.388,170.2608,164.7394643,4.025,3.966